age,length_screw,diameter,middle_diameter,hammer_strength,rank,size,country
47.0,39.53783715511043,17.053504428095536,4.301664774591381,46.38910231282338,medium,L,Denmark
20.0,-1.0345917222642527,-67.28332053632883,,-167.45105993979055,good,XXL,Denmark
72.0,40.68695854757322,-21.41187449112198,2.578786234405916,-34.34500319370989,medium,L,Austria
23.0,60.17933091270527,39.71246882290648,3.0651984210964485,118.02366379337643,perfect,XL,Austria
93.0,2.8622811028677333,33.05989838662275,,99.47638988360627,perfect,XL,Germany
65.0,52.287208931016025,12.532527065730402,4.092026740732106,44.92202332586888,bad,M,Austria
61.0,15.333484436326161,56.06005066226774,,139.3421174484423,perfect,S,Italy
45.0,34.52857862306451,18.256918012974204,,60.61483251343852,good,L,Austria
65.0,51.07839914305847,-22.97184967159064,4.03359218737339,-33.54038871282749,good,S,Denmark
98.0,26.075551526621847,-42.12851169023626,4.072526716346876,-96.73298065233756,perfect,M,France
89.0,31.02583862441144,-76.9386294707192,6.147629768602217,-171.71719517006886,bad,S,Canada
29.0,71.82407175618364,-22.45661926453951,5.619758067201187,-33.18232152201352,perfect,L,Italy
29.0,43.40747683995697,15.112926483877224,4.946075849814251,50.12723221900348,perfect,L,Spain
34.0,28.3536418290049,-5.892610426962852,1.3467547555061035,2.0027564451236035,perfect,S,Italy
42.0,25.714117043485505,5.761750698422589,,6.379989645244912,medium,XXL,Spain
50.0,-13.207104441635877,38.16935427077157,,98.90829680456727,perfect,S,Canada
43.0,18.257039388571222,2.9246322600286803,,25.309583227837543,good,XXL,France
90.0,27.474613047100792,-14.47641879057048,2.7924033781159556,0.39954749939369805,perfect,S,Austria
64.0,1.3800295215696181,48.876113267187655,,100.34169466633034,bad,XL,Austria
55.0,33.988546308204164,35.667452201049,,116.83693624018144,good,XXL,Canada
47.0,44.23070740540844,11.725447983477123,,39.0782908338684,medium,L,France
64.0,4.1814737179063854,20.75075695412198,,56.32304009528103,bad,M,Denmark
70.0,-1.2782060767359766,-26.698815673389788,,-73.13701504351374,perfect,S,France
88.0,10.780497741310679,19.8501698272358,,48.18692187410798,medium,XXL,Austria
24.0,-26.390334718392353,29.753104138790793,,55.7549086770143,perfect,S,Austria
32.0,23.932583524265496,23.934486367807263,2.1987481568544673,72.06809456194775,bad,XXL,Canada
81.0,24.228688585623654,45.26362791748923,,120.73912480823859,perfect,S,Canada
23.0,51.75433388242918,-74.75200303367743,,-173.994642334313,bad,M,Germany
21.0,20.897795177110112,92.74678188129272,,228.9893191093005,medium,L,Germany
27.0,42.484224700373034,38.85721092055752,,105.23427126609207,bad,M,Denmark
89.0,50.9837169468489,45.63886256284936,2.964120979094817,125.66957169429524,medium,nan,France
78.0,53.53767434206868,2.708159952812634,4.6100760655705475,19.863308851494768,perfect,S,Germany
56.0,57.633293849391464,-18.335852502753355,1.6373301085843037,-18.00484003206655,perfect,L,Denmark
72.0,6.66386928641435,-66.90945542378509,,-155.90926478289558,medium,S,Italy
22.0,4.292665105243344,-28.687719435972845,,-68.49366514717568,medium,XXL,Italy
21.0,24.698982142478528,26.016727084616043,1.145729193412542,81.8014303049435,medium,XL,Germany
54.0,16.168776077127234,74.5262472295645,1.5910111455316345,185.80298711281026,perfect,S,France
51.0,36.86209458243189,-24.460660226345958,4.798517274725509,-49.186192966343825,bad,XL,Denmark
76.0,16.257550302611953,24.87376185401611,,59.9744997000969,bad,S,Canada
80.0,33.55227572819699,-13.011697680690641,4.045122202404225,-22.79863230280857,medium,S,Spain
97.0,34.59619129658894,38.043465172488744,1.8252107114753398,122.62926051206787,good,S,Austria
85.0,51.49388909434359,19.707507047392838,,73.43428338237142,perfect,XXL,Denmark
96.0,29.409438542851387,69.68514519292368,1.0767859112416314,164.29451039448563,medium,L,Denmark
53.0,34.422419656408664,-34.67167365834074,,-74.08729397933539,perfect,M,Canada
84.0,-20.3327744695778,6.485209649637493,,15.324198650815488,medium,XL,Italy
38.0,38.709018084951055,-28.509312318887694,1.1160282175495801,-58.856574264982584,medium,XXL,Canada
57.0,35.8954250123913,6.3861365255791,0.256869945533726,38.97587884216382,perfect,L,Germany
40.0,32.7127570153785,-37.61254694229602,2.696816851967439,-90.82394276140754,medium,S,Spain
51.0,34.202247501406745,-42.053924289443714,,-80.52888953427788,perfect,XL,Austria
65.0,18.160721877948866,-31.000385474238122,1.9486483954767757,-53.46887159409746,bad,XXL,Denmark
32.0,38.05881939915372,-0.060261122004829026,,21.257466605596072,medium,XL,Spain
45.0,24.715778261791925,6.4044995790930574,,23.872277075057763,medium,L,France
69.0,63.12292687299206,-4.964313630873344,5.38054127446466,-5.112545086892382,bad,XXL,Denmark
60.0,-2.7876855335792214,41.22699110177047,0.06149104156903462,105.67385740366012,good,L,France
89.0,46.674050838137944,26.15290528135785,,76.45081072766935,bad,XXL,Germany
74.0,41.27014088751185,14.47515280835674,0.9959906050475902,54.276269524670354,good,M,Spain
94.0,56.991037823608,34.94810142285527,1.5835274696385235,131.2203785519479,perfect,S,France
69.0,54.088361693555974,0.9244265371008995,3.6189020043883686,18.38445827954023,medium,XL,Spain
37.0,35.716526106329596,-21.643122713073623,,-19.611858274197242,medium,M,Austria
45.0,-16.734909944482503,32.68203611522708,2.7547777669738767,83.37957395070907,good,M,Denmark
30.0,33.67001569963875,-10.612981774944107,,-45.215833859281894,bad,S,Germany
96.0,49.4126540321531,39.49586974690766,,127.82196578011923,bad,M,Canada
97.0,10.479496141565775,58.20504344751251,,152.5217461689502,perfect,XXL,Germany
60.0,29.023506251694855,-55.56079483425077,,-130.33968537764596,perfect,L,Spain
26.0,19.690248375498506,73.81517796563215,,189.77964259869216,bad,XXL,France
